building_id,direction,DS1_slight_m,DS2_moderate_m,DS3_extensive_m,DS4_complete_m
RES1-09,Y,0.006902,0.016287,0.035708,0.084500
RES1-10,X,0.008543,0.018636,0.038460,0.085263
RES1-10,Y,0.009489,0.020111,0.039927,0.087286
RES1-11,X,0.005219,0.013240,0.034047,0.081415
RES1-11,Y,0.006997,0.016171,0.036938,0.084748
RES1-12,X,0.007343,0.016866,0.036607,0.083563
RES1-12,Y,0.009307,0.019569,0.039158,0.086391
RES1-13,X,0.005497,0.014184,0.035221,0.082662
RES1-13,Y,0.007000,0.016226,0.034621,0.084263
RES1-14,X,0.006549,0.016473,0.037067,0.084405
RES1-14,Y,0.009362,0.020214,0.040029,0.087288
RES1-15,X,0.005278,0.013604,0.034431,0.081603
RES1-15,Y,0.007049,0.016232,0.036872,0.084711
RES1-16,X,0.006037,0.015433,0.036104,0.083262
RES1-16,Y,0.009350,0.019478,0.039053,0.086506
RES3-01,X,0.012394,0.030903,0.057713,0.104791
RES3-01,Y,0.014008,0.034028,0.064004,0.112523
RES3-02,X,0.019672,0.044399,0.104580,0.224940
RES3-02,Y,0.020925,0.046959,0.108542,0.237061
RES3-03,X,0.012399,0.030176,0.056954,0.103324
RES3-03,Y,0.014060,0.033428,0.060493,0.108843
RES3-04,X,0.019576,0.044214,0.103949,0.224739
RES3-04,Y,0.020361,0.045777,0.106276,0.231100
RES3-05,X,0.010376,0.027278,0.054733,0.102871
RES3-05,Y,0.014067,0.034212,0.064060,0.112544
RES3-06,X,0.019201,0.043417,0.101774,0.221998
RES3-06,Y,0.021139,0.047337,0.109070,0.237169
RES3-07,X,0.009961,0.025926,0.052814,0.100311
RES3-07,Y,0.013923,0.033197,0.060535,0.108639
RES3-08,X,0.018301,0.043180,0.101480,0.221223
RES3-08,Y,0.020349,0.045690,0.106767,0.231189
RES3-09,X,0.005909,0.014860,0.035828,0.083277
RES3-09,Y,0.007064,0.016466,0.046347,0.077355
RES3-10,X,0.005693,0.014454,0.035189,0.082135
RES3-10,Y,0.007257,0.016545,0.037256,0.084927
RES3-11,X,0.005987,0.014796,0.035833,0.083092
RES3-11,Y,0.007130,0.016526,0.035691,0.085160
RES3-12,X,0.005560,0.013946,0.034513,0.081844
RES3-12,Y,0.007247,0.016558,0.037161,0.085169
RES3-13,X,0.007032,0.016879,0.037561,0.085223
RES3-13,Y,0.009799,0.020564,0.035881,0.081734
RES3-14,X,0.006623,0.016199,0.037314,0.084345
RES3-14,Y,0.009574,0.020039,0.039806,0.087578
RES3-15,X,0.008226,0.018245,0.038277,0.085610
RES3-15,Y,0.009777,0.020599,0.042319,0.088495
RES3-16,X,0.007856,0.017464,0.038020,0.084855
RES3-16,Y,0.009638,0.020090,0.039814,0.087311
RES3-17,X,0.008770,0.021854,0.056174,0.090468
RES3-17,Y,0.012773,0.029193,0.068368,0.108680
RES3-18,X,0.008205,0.020399,0.052811,0.087604
RES3-18,Y,0.012422,0.029238,0.066212,0.100569
RES3-19,X,0.011142,0.026793,0.062316,0.095915
RES3-19,Y,0.012740,0.029918,0.068305,0.108945
RES3-20,X,0.011046,0.026272,0.061922,0.094494
RES3-20,Y,0.012402,0.028289,0.065780,0.100638
RES3-21,X,0.014698,0.034580,0.080890,0.175085
RES3-21,Y,0.015410,0.036393,0.083768,0.184000
RES3-22,X,0.013160,0.034370,0.079529,0.172912
RES3-22,Y,0.015058,0.035732,0.083514,0.180146
RES3-23,X,0.014786,0.035226,0.081509,0.176228
RES3-23,Y,0.015513,0.035558,0.084222,0.184475
RES3-24,X,0.014733,0.034925,0.081604,0.175536
RES3-24,Y,0.015053,0.036041,0.082550,0.180196
