building_id,mode,period_s,PhiRoof_X,PhiRoof_Y,Ln_X,Ln_Y,PF_X,PF_Y,Alpha_X,Alpha_Y
EDU-13,2x,0.159630,-0.855413,-0.001608,107092.566333,25.039283,0.355095,0.000000,0.061857,0.000000
EDU-13,1y,0.388351,0.004680,1.000000,2533.640311,356798.852471,0.008585,1.208991,0.000000,0.701672
EDU-13,2y,0.123630,0.007376,-0.825571,-423.938022,108807.196314,-0.001385,0.355365,0.000000,0.062896
EDU-14,1x,0.673844,-1.000000,0.003048,-465705.213583,1592.866312,-1.239966,0.004241,0.749791,0.000000
EDU-14,2x,0.210780,-1.000000,0.000619,150080.953273,69.830745,0.341185,0.000159,0.066487,0.000000
EDU-14,1y,0.499079,-0.005394,-1.000000,-3050.663520,-452825.157691,-0.008355,-1.240130,0.000000,0.729150
EDU-14,2y,0.160950,-0.002583,1.000000,116.233001,-161243.674256,0.000253,-0.351158,0.000000,0.073520
EDU-15,1x,0.528859,1.000000,0.000000,855496.824465,0.000000,1.219332,0.000000,0.731424,0.000000
EDU-15,2x,0.159217,-0.856275,0.000000,239584.071517,0.000000,0.346207,0.000000,0.058160,0.000000
EDU-15,1y,0.401108,0.000000,1.000000,0.000000,820035.946372,0.000000,1.234792,0.000000,0.709995
EDU-15,2y,0.127159,0.000000,0.829488,0.000000,-259314.227255,0.000000,-0.375341,0.000000,0.068247
EDU-16,1x,0.661808,-1.000000,0.000000,-1075884.104598,0.000000,-1.237599,0.000000,0.754061,0.000000
EDU-16,2x,0.207126,-1.000000,0.000000,324939.907746,0.000000,0.339990,0.000000,0.062565,0.000000
EDU-16,1y,0.510751,0.000000,-1.000000,0.000000,-1024963.163783,0.000000,-1.258454,0.000000,0.730477
EDU-16,2y,0.165017,0.000000,1.000000,0.000000,-362465.861806,0.000000,-0.365809,0.000000,0.075090
OFF-01,1x,0.257104,-1.000000,0.000000,-153547.235676,0.000000,-1.226106,0.000000,0.706799,0.000000
OFF-01,2x,0.097543,-0.663666,0.000000,51365.751772,0.000000,0.384709,0.000000,0.074188,0.000000
OFF-01,1y,0.257553,0.000000,1.000000,0.000000,150182.153116,0.000000,1.248700,0.000000,0.704049
