building_id,direction,Xr1_m,Xr2_m,Xr3_m,Xr4_m,Xr5_m,Vb1_kN,Vb2_kN,Vb3_kN,Vb4_kN,Vb5_kN
RES3-19,Y,0.009917,0.022683,0.048040,0.073224,0.100840,568.4407,946.4052,1346.7787,1590.2894,1517.0868
RES3-20,X,0.009447,0.021535,0.048283,0.064829,0.090891,832.1662,1383.0532,2010.9711,2256.0691,2050.6536
RES3-20,Y,0.009447,0.022907,0.052312,0.070916,0.093806,820.4949,1406.3959,2045.9851,2253.7348,2041.3165
RES3-21,X,0.013721,0.035911,0.074003,0.107473,0.261692,792.4837,1501.6340,2272.8758,2488.5621,2975.4902
RES3-21,Y,0.013721,0.036465,0.077701,0.111541,0.259288,760.5042,1404.7619,2119.0476,2337.5350,2782.9132
RES3-22,X,0.014523,0.034442,0.073013,0.102349,0.256815,1153.3613,2014.7059,3086.1345,3392.8571,4098.7395
RES3-22,Y,0.013074,0.033175,0.072289,0.104884,0.260799,1086.1345,1960.0840,3006.3025,3367.6471,3989.4958
RES3-23,X,0.012652,0.035622,0.072713,0.102649,0.270405,789.2157,1527.7778,2263.0719,2504.9020,2965.6863
RES3-23,Y,0.012652,0.030539,0.071583,0.106038,0.281137,718.4874,1281.5126,2032.2129,2326.3305,2830.5322
RES3-24,X,0.012175,0.033694,0.069190,0.101927,0.274994,1090.3361,2056.7227,3044.1176,3451.6807,4136.5546
RES3-24,Y,0.011624,0.030015,0.074707,0.106341,0.274810,1014.7059,1859.2437,3039.9160,3376.0504,4039.9160
