NO,NGA,Scale_Fac,D5_75sec,D5_95sec,Evnt_Name,Year,Station,Mw,Mechanism,Rrup_km,Vs30,CMS_sec,Return_Period,gm00xx,Nick_Name
304,1945,1.33,5,10.5," ""Anza-02""",2001," ""Indian Wells - Hwy111 & El Dorad""",4.92, Normal Oblique,30.4,311.18,1,225,gm004,CMS1s_225years_gm004
305,3692,2.72,5.8,11.8," ""Whittier Narrows-02""",1987," ""Burbank - N Buena Vista""",5.27, Reverse Oblique,25.98,320.57,1,225,gm005,CMS1s_225years_gm005
306,4337,0.28,2.9,4.8," ""Umbria Marche (foreshock)_ Italy""",1997," ""Colfiorito""",5.7, Normal,4.02,317,1,225,gm006,CMS1s_225years_gm006
307,8649,2.84,6.4,26.2," ""40204628""",2007," ""Pleasanton; Lydiksen School Highland Oaks Dr; 1-story; ground level""",5.45, strike slip,28.5,341.13,1,225,gm007,CMS1s_225years_gm007
308,8876,1.01,2.7,20.1," ""14383980""",2008," ""Walnut""",5.39, Reverse Oblique,20.25,342.64,1,225,gm008,CMS1s_225years_gm008
309,9636,2.5,0.5,6.7," ""10410337""",2009," ""Hawthorne; FAA Bldg""",4.7, strike slip,10.73,332.33,1,225,gm009,CMS1s_225years_gm009
310,11062,3.34,6.5,12.2," ""21522424""",2006," ""Gilroy Array #3""",4.3, strike slip,12.64,349.85,1,225,gm0010,CMS1s_225years_gm0010
311,96,0.66,2.8,8.1," ""Managua_ Nicaragua-02""",1972," ""Managua_ ESSO""",5.2, strike slip,4.98,288.77,1,475,gm001,CMS1s_475years_gm001
312,391,1.03,4,14.8," ""Coalinga-03""",1983," ""Burnett Construction""",5.38, Reverse,13.45,352.2,1,475,gm002,CMS1s_475years_gm002
313,392,1.81,8.3,16.1," ""Coalinga-03""",1983," ""Coalinga-14th & Elm (Old CHP)""",5.38, Reverse,12.63,286.41,1,475,gm003,CMS1s_475years_gm003
314,445,3.87,8.2,12.6," ""New Zealand-01""",1984," ""Turangi Telephone Exchange""",5.5, Normal,8.84,356.39,1,475,gm004,CMS1s_475years_gm004
315,562,1.56,3.6,16.2," ""Chalfant Valley-04""",1986," ""Bishop - LADWP South St""",5.44, strike slip,24.75,303.47,1,475,gm005,CMS1s_475years_gm005
316,563,2.28,7.7,17.1," ""Chalfant Valley-04""",1986," ""Zack Brothers Ranch""",5.44, strike slip,10.76,316.19,1,475,gm006,CMS1s_475years_gm006
317,1756,1.59,9.8,19.8," ""San Juan Bautista""",1998," ""Hollister - City Hall Annex""",5.17, strike slip,13.49,272.8,1,475,gm007,CMS1s_475years_gm007
318,8658,0.98,7.5,21.7," ""40204628""",2007," ""San Jose; CHP Field Office Junction Ave; 1-story; ground level""",5.45, strike slip,13.26,266.31,1,475,gm008,CMS1s_475years_gm008
319,8659,3.71,2,6.7," ""40204628""",2007," ""Campbell; Fire Station 11 Union Av; 2-story; ground level""",5.45, strike slip,21.39,275.34,1,475,gm009,CMS1s_475years_gm009
320,8887,3.13,5.5,13.9," ""14383980""",2008," ""Santa Ana - I5 & 4th St""",5.39, Reverse Oblique,25.13,305.54,1,475,gm0010,CMS1s_475years_gm0010
321,154,2.35,6.9,15.1," ""Coyote Lake""",1979," ""San Juan Bautista_ 24 Polk St""",5.74, strike slip,19.7,335.5,1,975,gm001,CMS1s_975years_gm001
322,339,0.56,10.4,19.7," ""Coalinga-01""",1983," ""Parkfield - Fault Zone 15""",6.36, Reverse,29.38,307.59,1,975,gm002,CMS1s_975years_gm002
323,544,1.46,12.1,21.7," ""Chalfant Valley-01""",1986," ""Bishop - LADWP South St""",5.77, strike slip,23.47,303.47,1,975,gm003,CMS1s_975years_gm003
324,649,2.32,5.2,10.9," ""Whittier Narrows-01""",1987," ""La Habra - Briarcliff""",5.99, Reverse Oblique,20.28,338.27,1,975,gm004,CMS1s_975years_gm004
325,723,0.29,8.1,11," ""Superstition Hills-02""",1987," ""Parachute Test Site""",6.54, strike slip,0.95,348.69,1,975,gm005,CMS1s_975years_gm005
326,3933,1.73,5.4,11.9," ""Tottori_ Japan""",2000," ""SMN001""",6.61, strike slip,14.42,331,1,975,gm006,CMS1s_975years_gm006
327,4134,0.9,3,6.9," ""Parkfield-02_ CA""",2004," ""Parkfield - Vineyard Cany 3W""",6, strike slip,5.21,308.87,1,975,gm007,CMS1s_975years_gm007
328,4138,1.26,6.2,16.7," ""Parkfield-02_ CA""",2004," ""PARKFIELD - UPSAR 01""",6, strike slip,10.08,357.79,1,975,gm008,CMS1s_975years_gm008
329,4210,0.43,6.6,95.9," ""Niigata_ Japan""",2004," ""NIG020""",6.63, Reverse,8.47,331.63,1,975,gm009,CMS1s_975years_gm009
330,4276,1.17,3.4,7.9," ""Friuli (aftershock 9)_ Italy""",1976," ""Buia""",5.5, Reverse,12.39,310.68,1,975,gm0010,CMS1s_975years_gm0010
331,364,2.89,6.8,20.6," ""Coalinga-01""",1983," ""Parkfield - Vineyard Cany 4W""",6.36, Reverse,34.45,386.19,1,2475,gm001,CMS1s_2475years_gm001
332,1006,1.47,5.8,11.3," ""Northridge-01""",1994," ""LA - UCLA Grounds""",6.69, Reverse,22.49,398.42,1,2475,gm002,CMS1s_2475years_gm002
333,2892,4.52,19.8,26.6," ""Chi-Chi_ Taiwan-04""",1999," ""TCU120""",6.2, strike slip,38.36,459.34,1,2475,gm003,CMS1s_2475years_gm003
334,3468,4.17,10.3,22.8," ""Chi-Chi_ Taiwan-06""",1999," ""TCU067""",6.3, Reverse,24.67,433.63,1,2475,gm004,CMS1s_2475years_gm004
335,3503,2.27,8.1,15.2," ""Chi-Chi_ Taiwan-06""",1999," ""TCU122""",6.3, Reverse,31.28,475.46,1,2475,gm005,CMS1s_2475years_gm005
336,3753,1.51,22.7,29.6," ""Landers""",1992," ""Fun Valley""",7.28, strike slip,25.02,388.63,1,2475,gm006,CMS1s_2475years_gm006
337,4031,1.02,3.3,10.3," ""San Simeon_ CA""",2003," ""Templeton - 1-story Hospital""",6.52, Reverse,6.22,410.66,1,2475,gm007,CMS1s_2475years_gm007
338,4871,0.97,10.6,18.9," ""Chuetsu-oki_ Japan""",2007," ""Shiozawa Building_ Minamiunuma""",6.8, Reverse,41.75,425.06,1,2475,gm008,CMS1s_2475years_gm008
339,5270,1.53,5.4,15.8," ""Chuetsu-oki_ Japan""",2007," ""NIG024""",6.8, Reverse,25.33,375.22,1,2475,gm009,CMS1s_2475years_gm009
340,8157,0.47,3.3,6," ""Christchurch_ New Zealand""",2011," ""Heathcote Valley Primary School """,6.2, Reverse Oblique,3.36,422,1,2475,gm0010,CMS1s_2475years_gm0010
341,57,1.92,10.6,16.8," ""San Fernando""",1971," ""Castaic - Old Ridge Route""",6.61, Reverse,22.63,450.28,1,5000,gm001,CMS1s_5000years_gm001
342,802,1.3,4.1,9.4," ""Loma Prieta""",1989," ""Saratoga - Aloha Ave""",6.93, Reverse Oblique,8.5,380.89,1,5000,gm002,CMS1s_5000years_gm002
343,982,0.36,4,12.5," ""Northridge-01""",1994," ""Jensen Filter Plant Administrative Building""",6.69, Reverse,5.43,373.07,1,5000,gm003,CMS1s_5000years_gm003
344,1019,2.56,8.4,16," ""Northridge-01""",1994," ""Lake Hughes #1""",6.69, Reverse,35.81,425.34,1,5000,gm004,CMS1s_5000years_gm004
345,1283,4.19,10.5,20.1," ""Chi-Chi_ Taiwan""",1999," ""HWA034""",7.62, Reverse Oblique,44.32,379.18,1,5000,gm005,CMS1s_5000years_gm005
346,3473,1.44,3.6,7.4," ""Chi-Chi_ Taiwan-06""",1999," ""TCU078""",6.3, Reverse,11.52,443.04,1,5000,gm006,CMS1s_5000years_gm006
347,3751,1.74,8.3,14.7," ""Cape Mendocino""",1992," ""South Bay Union School""",7.01, Reverse,35.22,459.04,1,5000,gm007,CMS1s_5000years_gm007
348,3759,4.36,23.2,33.4," ""Landers""",1992," ""Whitewater Trout Farm""",7.28, strike slip,27.05,425.02,1,5000,gm008,CMS1s_5000years_gm008
349,3865,2.76,7.1,20.6," ""Chi-Chi_ Taiwan-06""",1999," ""CHY006""",6.3, Reverse,40.64,438.19,1,5000,gm009,CMS1s_5000years_gm009
350,4451,0.59,8.8,21.3," ""Montenegro_ Yugoslavia""",1979," ""Bar-Skupstina Opstine""",7.1, Reverse,6.98,462.23,1,5000,gm0010,CMS1s_5000years_gm0010
